time,up_preprocessed,octez_validator_block_worker_error_count_preprocessed,ocaml_gc_allocated_bytes_preprocessed,octez_p2p_connections_active_preprocessed,process_cpu_seconds_total_preprocessed,octez_store_last_merge_time_preprocessed,octez_validator_chain_synchronisation_status_preprocessed,octez_validator_chain_is_bootstrapped_preprocessed,octez_validator_peer_system_error_preprocessed,octez_validator_peer_unavailable_protocol_preprocessed,octez_validator_peer_unknown_error_preprocessed,octez_p2p_swap_fail_preprocessed,octez_store_invalid_blocks_preprocessed,process_start_time_seconds_preprocessed
8205.771058,,,,,,,0.0,,,,,,,
8205.793792,,,,,,1.0,,,,,,,,
8205.82345,,,,,0.05744628322772638,,,,,,,,,
8205.847278,,,,0.5,,,,,,,,,,
8205.871539,,,0.05234839076202247,,,,,,,,,,,
8205.902807,0.0,,,,,,,,,,,,,
8205.941025,,0.0,,,,,,,,,,,,
8266.031415,,,,,,,,,,,,,,0.0
8266.057195,,,,,,,,,,,,,0.0,
8266.068018,,,,,,,,,,,,0.027027027027026973,,
8266.095492,,,,,,,,,,,0.0,,,
8266.113389,,,,,,,,,,0.0,,,,
8266.142323,,,,,,,,,0.0,,,,,
8266.168455,,,,,,,,0.0,,,,,,
8266.198991,,,,,,,0.0,,,,,,,
8266.221267,,,,,,1.0,,,,,,,,
8266.251073,,,,,0.05791563465069771,,,,,,,,,
8266.277857,,,,0.5,,,,,,,,,,
8266.301568,,,0.05277965914015004,,,,,,,,,,,
8266.330177,0.0,,,,,,,,,,,,,
8266.361716,,0.0,,,,,,,,,,,,
8326.451086,,,,,,,,,,,,,,0.0
8326.478565,,,,,,,,,,,,,0.0,
8326.498177,,,,,,,,,,,,0.027027027027026973,,
8326.525379,,,,,,,,,,,0.0,,,
8326.547114,,,,,,,,,,0.0,,,,
8326.57533,,,,,,,,,0.0,,,,,
8326.604238,,,,,,,,0.0,,,,,,
8326.63652,,,,,,,0.0,,,,,,,
8326.659141,,,,,,1.0,,,,,,,,
8326.68944,,,,,0.058319406387148276,,,,,,,,,
8326.716405,,,,0.5,,,,,,,,,,
8326.739581,,,0.05314090114810077,,,,,,,,,,,
8326.770501,0.0,,,,,,,,,,,,,
8326.808814,,0.0,,,,,,,,,,,,
8386.880133,,,,,,,,,,,,,,0.0
8386.907871,,,,,,,,,,,,,0.0,
8386.927135,,,,,,,,,,,,0.027027027027026973,,
8386.955751,,,,,,,,,,,0.0,,,
8386.977179,,,,,,,,,,0.0,,,,
8387.005203,,,,,,,,,0.0,,,,,
8387.032067,,,,,,,,0.0,,,,,,
8387.065065,,,,,,,0.0,,,,,,,
8387.087734,,,,,,1.0,,,,,,,,
8387.114418,,,,,0.05878390385999743,,,,,,,,,
8387.141593,,,,0.5,,,,,,,,,,
8387.166482,,,0.05356265148017103,,,,,,,,,,,
8387.190286,0.0,,,,,,,,,,,,,
8387.225393,,0.0,,,,,,,,,,,,
8447.304581,,,,,,,,,,,,,,0.0
8447.332701,,,,,,,,,,,,,0.0,
8447.352806,,,,,,,,,,,,0.027027027027026973,,
8447.380436,,,,,,,,,,,0.0,,,
8447.403254,,,,,,,,,,0.0,,,,
8447.432593,,,,,,,,,0.0,,,,,
8447.460423,,,,,,,,0.0,,,,,,
8447.492087,,,,,,,0.0,,,,,,,
8447.510384,,,,,,1.0,,,,,,,,
8447.541082,,,,,0.05920415716551253,,,,,,,,,
8447.568911,,,,0.5454545454545454,,,,,,,,,,
8447.594756,,,0.053923643766954465,,,,,,,,,,,
8447.622271,0.0,,,,,,,,,,,,,
8447.655171,,0.0,,,,,,,,,,,,
8507.716145,,,,,,,,,,,,,,0.0
8507.7432,,,,,,,,,,,,,0.0,
8507.762749,,,,,,,,,,,,0.027027027027026973,,
8507.791668,,,,,,,,,,,0.0,,,
8507.81526,,,,,,,,,,0.0,,,,
8507.844845,,,,,,,,,0.0,,,,,
8507.873218,,,,,,,,0.0,,,,,,
8507.906633,,,,,,,0.0,,,,,,,
8507.930472,,,,,,1.0,,,,,,,,
8507.961093,,,,,0.059649789662613806,,,,,,,,,
8507.98836,,,,0.5454545454545454,,,,,,,,,,
8508.012809,,,0.054336096406658596,,,,,,,,,,,
8508.043795,0.0,,,,,,,,,,,,,
8508.077021,,0.0,,,,,,,,,,,,
8568.136273,,,,,,,,,,,,,,0.0
8568.163971,,,,,,,,,,,,,0.0,
8568.18275,,,,,,,,,,,,0.027027027027026973,,
8568.21033,,,,,,,,,,,0.0,,,
8568.23324,,,,,,,,,,0.0,,,,
8568.262428,,,,,,,,,0.0,,,,,
8568.289861,,,,,,,,0.0,,,,,,
8568.320254,,,,,,,0.0,,,,,,,
8568.343986,,,,,,1.0,,,,,,,,
8568.374233,,,,,0.06018187849536516,,,,,,,,,
8568.399573,,,,0.6818181818181821,,,,,,,,,,
8568.423148,,,0.05482534735107547,,,,,,,,,,,
8568.452326,0.0,,,,,,,,,,,,,
8568.490642,,0.0,,,,,,,,,,,,
8628.551752,,,,,,,,,,,,,,0.0
8628.579856,,,,,,,,,,,,,0.0,
8628.600457,,,,,,,,,,,,0.027027027027026973,,
8628.62819,,,,,,,,,,,0.0,,,
8628.651594,,,,,,,,,,0.0,,,,
8628.680914,,,,,,,,,0.0,,,,,
8628.709834,,,,,,,,0.0,,,,,,
