time,value_pred,is_anomaly,value_orig
0.0,0.31428571428571406,-1,0.0
0.0,1.0,-1,0.0
185624.774174,1.0,-1,23681097613936.0
0.0,0.31428571428571406,-1,7979929686936.0
0.0,1.0,-1,7979929686936.0
0.0,0.31428571428571406,-1,77.0
0.0,1.0,-1,77.0
251.286212,0.5142857142857142,-1,84.0
261.548232,0.5142857142857142,-1,84.0
8931.035182,0.5142857142857142,-1,84.0
183822.016218,0.37142857142857144,-1,79.0
184122.453382,0.4571428571428573,-1,82.0
185324.28655,0.34285714285714297,-1,78.0
185624.750231,0.4571428571428573,-1,82.0
0.0,0.31428571428571406,-1,16992.724637
0.0,1.0,-1,16992.724637
185624.723583,0.9999999999999999,-1,47890.516463
0.0,0.31428571428571406,-1,124.410142
0.0,1.0,-1,124.410142
251.237937,1.0,-1,124.410142
261.493969,1.0,-1,124.410142
7514.784937,1.0,-1,124.410142
8026.868908,1.0,-1,124.410142
8033.888148,1.0,-1,124.410142
8079.513593,1.0,-1,124.410142
8103.626542,1.0,-1,124.410142
8146.018406,1.0,-1,124.410142
8205.793792,1.0,-1,124.410142
8266.221267,1.0,-1,124.410142
8326.659141,1.0,-1,124.410142
8387.087734,1.0,-1,124.410142
8447.510384,1.0,-1,124.410142
8507.930472,1.0,-1,124.410142
8568.343986,1.0,-1,124.410142
8628.765214,1.0,-1,124.410142
8689.174108,1.0,-1,124.410142
8749.623019,1.0,-1,124.410142
8810.121898,1.0,-1,124.410142
8870.555098,1.0,-1,124.410142
8930.979393,1.0,-1,124.410142
8991.410944,1.0,-1,124.410142
9051.833248,1.0,-1,124.410142
9112.258981,1.0,-1,124.410142
9172.660103,1.0,-1,124.410142
9250.581899,1.0,-1,124.410142
9551.062874,1.0,-1,124.410142
9851.552066,1.0,-1,124.410142
10152.029664,1.0,-1,124.410142
10452.497281,1.0,-1,124.410142
10752.965822,1.0,-1,124.410142
11053.42359,1.0,-1,124.410142
11353.895277,1.0,-1,124.410142
11654.367224,1.0,-1,124.410142
11954.835687,1.0,-1,124.410142
12255.310883,1.0,-1,124.410142
12555.778764,1.0,-1,124.410142
12856.236489,1.0,-1,124.410142
13156.715102,1.0,-1,124.410142
13457.195047,1.0,-1,124.410142
13757.657002,1.0,-1,124.410142
14058.125789,1.0,-1,124.410142
14358.591042,1.0,-1,124.410142
14659.060122,1.0,-1,124.410142
14959.521306,1.0,-1,124.410142
15259.993431,1.0,-1,124.410142
15560.454464,1.0,-1,124.410142
15860.916202,1.0,-1,124.410142
16161.388081,1.0,-1,124.410142
16461.850055,1.0,-1,124.410142
16762.319276,1.0,-1,124.410142
17062.78066,1.0,-1,124.410142
17363.249932,1.0,-1,124.410142
17663.7174,1.0,-1,124.410142
17964.185079,1.0,-1,124.410142
18264.658855,1.0,-1,124.410142
18565.132417,1.0,-1,124.410142
18865.596372,1.0,-1,124.410142
19166.061085,1.0,-1,124.410142
19466.532152,1.0,-1,124.410142
19767.008307,1.0,-1,124.410142
20067.487744,1.0,-1,124.410142
20367.954085,1.0,-1,124.410142
20668.410697,1.0,-1,124.410142
20968.876473,1.0,-1,124.410142
21269.31631,1.0,-1,124.410142
21569.783595,1.0,-1,124.410142
21870.24875,1.0,-1,124.410142
0.0,0.31428571428571406,-1,1.0
0.0,1.0,-1,1.0
0.0,0.31428571428571406,-1,1.0
0.0,1.0,-1,1.0
0.0,0.31428571428571406,-1,0.0
0.0,1.0,-1,0.0
0.0,0.31428571428571406,-1,0.0
0.0,1.0,-1,0.0
0.0,0.31428571428571406,-1,0.0
0.0,1.0,-1,0.0
0.0,0.31428571428571406,-1,96.0
0.0,1.0,-1,96.0
185624.527076,1.0,-1,345.0
0.0,0.31428571428571406,-1,0.0
0.0,1.0,-1,0.0
0.0,0.31428571428571406,-1,1686236914.518857
0.0,1.0,-1,1686236914.518857
